101	102	103	104	105	106
2	6	1	2	2	2
1	4	4	4	4	4
2	2	7	7	3	2
1	6	1	2	1	1
1	1	1	1	1	1
1	1	1	3	1	2
1	2	1	1	1	1
1	1	1	2	1	1
4	4	4	4	4	4
4	4	4	4	4	2
999	1	9999	9999	3	3
1	2	6	1	1	1
9999	9999	9999	7	6	8
1	1	6	1	1	1
4	4	4	4	4	4
5	5	5	5	5	8
3	3	3	1	3	3
4	4	4	4	4	4
1	2	1	1	1	1
1	1	1	1	1	1
1	2	1	2	2	1
1	1	1	3	1	1
3	2	2	2	1	2
4	4	4	4	4	2
1	6	1	2	2	1
1	4	4	4	4	1
3	2	1	7	7	2
5	5	5	5	7	5
1	4	4	4	4	1
1	1	1	1	1	1
3	3	3	3	3	3
1	3	1	3	6	1
1	2	2	1	1	1
1	3	9999	1	3	3
3	3	9999	6	3	3
5	5	5	5	5	5
999	6	999	1	6	1
1	2	9999	1	1	1
8	5	5	5	5	5
2	2	2	7	7	4
1	1	3	2	1	1
1	4	4	4	4	1
999	2	9999	1	2	6
1	2	2	2	1	2
1	2	2	1	2	1
999	1	2	1	6	6
3	3	3	2	3	3
6	6	2	2	6	6
1	2	1	2	3	1
1	1	1	3	1	1
